Spin_0,Spin_1,Spin_2,Spin_3,Spin_4,Spin_5,Spin_6,Spin_7,Spin_8,Spin_9
1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
